,movie_name,year,rating
0,The Shawshank Redemption,1994,9.3
1,The Godfather,1972,9.2
2,The Dark Knight,2008,9
3,The Godfather: Part II,1974,9
4,12 Angry Men,1957,9
5,The Lord of the Rings: The Return of the King,2003,9
6,Schindler's List,1993,9
7,Pulp Fiction,1994,8.9
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9
9,"Il Buono, Il Brutto, Il Cattivo",1966,8.8
10,Forrest Gump,1994,8.8
11,The Lord of the Rings: The Two Towers,2002,8.8
12,Fight Club,1999,8.8
13,Inception,2010,8.8
14,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
15,The Matrix,1999,8.7
16,GoodFellas,1990,8.7
17,One Flew Over the Cuckoo's Nest,1975,8.7
18,Interstellar,2014,8.7
19,Se7en,1995,8.6
20,It's a Wonderful Life,1946,8.6
21,Shichinin No Samurai,1954,8.6
22,The Silence of the Lambs,1991,8.6
23,Saving Private Ryan,1998,8.6
24,City of God,2002,8.6
25,Life Is Beautiful,1997,8.6
26,The Green Mile,1999,8.6
27,Terminator 2: Judgment Day,1991,8.6
28,Star Wars: Episode IV - A New Hope,1977,8.6
29,Back to the Future,1985,8.5
30,Spirited Away,2001,8.6
31,The Pianist,2002,8.5
32,Parasite,2019,8.5
33,Psycho,1960,8.5
34,Gladiator,2000,8.5
35,The Lion King,1994,8.5
36,Spider-man: Across the Spider-verse,2023,8.6
37,The Departed,2006,8.5
38,Whiplash,2014,8.5
39,Grave of the Fireflies,1988,8.5
40,American History X,1998,8.5
41,Léon,1994,8.5
42,The Prestige,2006,8.5
43,Seppuku,1962,8.6
44,The Usual Suspects,1995,8.5
45,Casablanca,1942,8.5
46,Dune: Part Two,2024,8.5
47,Intouchables,2011,8.5
48,Cinema Paradiso,1988,8.5
49,Modern Times,1936,8.5
50,Alien,1979,8.5
51,Rear Window,1954,8.5
52,C'era Una Volta Il West,1968,8.5
53,Django Unchained,2012,8.5
54,City Lights,1931,8.5
55,Apocalypse Now,1979,8.4
56,Memento,2000,8.4
57,WALL·E,2008,8.4
58,Raiders of the Lost Ark,1981,8.4
59,12th Fail,2023,8.8
60,Das Leben der Anderen,2006,8.4
61,Sunset Blvd.,1950,8.4
62,Avengers: Infinity War,2018,8.4
63,Paths of Glory,1957,8.4
64,Spider-Man: Into the Spider-Verse,2018,8.4
65,Witness for the Prosecution,1957,8.4
66,The Shining,1980,8.4
67,The Great Dictator,1940,8.4
68,Alien 2,1986,8.4
69,Inglourious Basterds,2009,8.4
70,The Dark Knight Rises,2012,8.4
71,Coco,2017,8.4
72,Amadeus,1984,8.4
73,Toy Story,1995,8.3
74,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3
75,Oldeuboi,2003,8.3
76,American Beauty,1999,8.3
77,Avengers: Endgame,2019,8.4
78,Das Boot,1981,8.4
79,Braveheart,1995,8.3
80,Good Will Hunting,1997,8.3
81,Mononoke-hime,1997,8.3
82,Kimi No Na Wa.,2016,8.4
83,Joker,2019,8.4
84,Tengoku to Jigoku,1963,8.4
85,3 Idiots,2009,8.4
86,Once Upon a Time in America,1984,8.3
87,Singin' in the Rain,1952,8.3
88,Capharnaüm,2018,8.4
89,Idi I Smotri,1985,8.4
90,Requiem for a Dream,2000,8.3
91,Toy Story 3,2010,8.3
92,Star Wars: Episode VI - Return of the Jedi,1983,8.3
93,Jagten,2012,8.3
94,Eternal Sunshine of the Spotless Mind,2004,8.3
95,2001: A Space Odyssey,1968,8.3
96,Ikiru,1952,8.3
97,Reservoir Dogs,1992,8.3
98,Lawrence of Arabia,1962,8.3
99,The Apartment,1960,8.3
100,Incendies,2010,8.3
101,Scarface,1983,8.3
102,North by Northwest,1959,8.3
103,Double Indemnity,1944,8.3
104,Citizen Kane,1941,8.3
105,Oppenheimer,2023,8.3
106,M - Eine Stadt sucht einen Mörder,1931,8.3
107,Vertigo,1958,8.3
108,Heat,1995,8.3
109,Full Metal Jacket,1987,8.2
110,Le fabuleux destin d'Amélie Poulain,2001,8.3
111,Up,2009,8.3
112,A Clockwork Orange,1971,8.2
113,To Kill a Mockingbird,1962,8.3
114,Jodaeiye Nader Az Simin,2011,8.3
115,The Sting,1973,8.3
116,Die Hard,1988,8.2
117,Indiana Jones and the Last Crusade,1989,8.2
118,Taare Zameen Par,2007,8.3
119,Metropolis,1927,8.3
120,Snatch,2000,8.2
121,1917,2019,8.2
122,L.A. Confidential,1997,8.2
123,Ladri Di Biciclette,1948,8.3
124,Hamilton,2020,8.3
125,Der Untergang,2004,8.2
126,Taxi Driver,1976,8.2
127,Dangal,2016,8.3
128,Batman Begins,2005,8.2
129,The Wolf of Wall Street,2013,8.2
130,Per qualche dollaro in più,1965,8.2
131,Green Book,2018,8.2
132,Some Like It Hot,1959,8.2
133,The Truman Show,1998,8.2
134,Judgment at Nuremberg,1961,8.3
135,The Kid,1921,8.2
136,The Father,2020,8.2
137,All About Eve,1950,8.2
138,Shutter Island,2010,8.2
139,There Will Be Blood,2007,8.2
140,Jurassic Park,1993,8.2
141,Casino,1995,8.2
142,Top Gun: Maverick,2022,8.2
143,Ran,1985,8.2
144,The Sixth Sense,1999,8.2
145,El Laberinto Del Fauno,2006,8.2
146,Unforgiven,1992,8.2
147,No Country for Old Men,2007,8.2
148,The Thing,1982,8.2
149,A Beautiful Mind,2001,8.2
150,Kill Bill: Vol. 1,2003,8.2
151,The Treasure of the Sierra Madre,1948,8.2
152,Yojimbo,1961,8.2
153,The Great Escape,1963,8.2
154,Finding Nemo,2003,8.2
155,Monty Python and the Holy Grail,1975,8.2
156,Prisoners,2013,8.2
157,Howl's Moving Castle,2004,8.2
158,The Elephant Man,1980,8.2
159,Rashōmon,1950,8.2
160,Dial M for Murder,1954,8.2
161,Chinatown,1974,8.1
162,Gone with the Wind,1939,8.2
163,El Secreto De Sus Ojos,2009,8.2
164,"Lock, Stock and Two Smoking Barrels",1998,8.1
165,Inside Out,2015,8.1
166,V for Vendetta,2005,8.1
167,"Three Billboards Outside Ebbing, Missouri",2017,8.1
168,Raging Bull,1980,8.1
169,Trainspotting,1996,8.1
170,The Bridge on the River Kwai,1957,8.1
171,Klaus,2019,8.2
172,Catch Me If You Can,2002,8.1
173,Fargo,1996,8.1
174,Warrior,2011,8.1
175,Spider-Man: No Way Home,2021,8.2
176,Gran Torino,2008,8.1
177,Harry Potter and the Deathly Hallows: Part 2,2011,8.1
178,Million Dollar Baby,2004,8.1
179,My Neighbour Totoro,1988,8.1
180,Mad Max: Fury Road,2015,8.1
181,Bacheha-Ye Aseman,1997,8.2
182,Ben-Hur,1959,8.1
183,12 Years a Slave,2013,8.1
184,Barry Lyndon,1975,8.1
185,Before Sunrise,1995,8.1
186,Blade Runner,1982,8.1
187,The Grand Budapest Hotel,2014,8.1
188,Hacksaw Ridge,2016,8.1
189,Gone Girl,2014,8.1
190,Dead Poets Society,1989,8.1
191,Maharaja,2024,8.5
192,Salinui Chueok,2003,8.1
193,In the Name of the Father,1993,8.1
194,The Gold Rush,1925,8.1
195,"Monsters, Inc.",2001,8.1
196,Relatos Salvajes,2014,8.1
197,The Deer Hunter,1978,8.1
198,Ratatouille,2007,8.1
199,The General,1926,8.1
200,Sherlock Jr.,1924,8.2
201,Jaws,1975,8.1
202,How to Train Your Dragon,2010,8.1
203,On the Waterfront,1954,8.1
204,Mary and Max,2009,8.1
205,Le Salaire De La Peur,1953,8.1
206,Ford v. Ferrari,2019,8.1
207,Smultronstället,1957,8.1
208,Mr. Smith Goes to Washington,1939,8.1
209,The Third Man,1949,8.1
210,Logan,2017,8.1
211,Rocky,1976,8.1
212,Tokyo Story,1953,8.1
213,The Big Lebowski,1998,8.1
214,Det Sjunde Inseglet,1957,8.1
215,Room,2015,8.1
216,Spotlight,2015,8.1
217,The Terminator,1984,8.1
218,Hotel Rwanda,2004,8.1
219,Platoon,1986,8.1
220,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1
221,La haine,1995,8.1
222,Before Sunset,2004,8.1
223,Jai Bhim,2021,8.7
224,La passion de Jeanne d'Arc,1928,8.1
225,The Best Years of Our Lives,1946,8.1
226,The Exorcist,1973,8.1
227,Rush,2013,8.1
228,The Incredibles,2004,8
229,The Wizard of Oz,1939,8.1
230,Network,1976,8.1
231,Stand by Me,1986,8.1
232,Hachi: A Dog's Tale,2009,8.1
233,The Sound of Music,1965,8.1
234,My Father and My Son,2005,8.2
235,Ah-ga-ssi,2016,8.1
236,To Be or Not to Be,1942,8.1
237,Into the Wild,2007,8.1
238,La battaglia di Algeri,1966,8.1
239,Groundhog Day,1993,8
240,The Iron Giant,1999,8.1
241,The Grapes of Wrath,1940,8.1
242,Amores perros,2000,8
243,Rebecca,1940,8.1
244,The Help,2011,8.1
245,Cool Hand Luke,1967,8.1
246,It Happened One Night,1934,8.1
247,Gangs of Wasseypur,2012,8.2
248,Drishyam,2015,8.2
249,Andhadhun,2018,8.2